backbone_name,params,mac/flops
darknet53,40.584928,7.136582656
efficientnet_b0,3.595388,0.362522652
efficientnet_b1,6.101024,0.552791552
efficientnet_b2,7.202562,0.638695938
efficientnet_b3,10.103336,0.94013296
efficientnet_b4,16.742216,1.477357736
efficientnet_b5,27.288112,2.332293088
efficientnet_b6,39.403992,3.333563136
efficientnet_b7,62.14344,5.148676496
efficientnet_b8,82.608046,6.952188502
efficientnet_l2,467.219796,37.258163612
efficientnet_l2_475,467.219796,37.258163612
efficientnet_edge_s,3.909072,2.318093568
efficientnet_edge_m,5.370176,3.15004928
efficientnet_edge_l,8.693288,5.275936624
efficientnet_lite0,2.958848,0.359570624
efficientnet_lite1,3.72352,0.480846016
efficientnet_lite2,4.357952,0.553587104
efficientnet_lite3,6.422016,0.830288928
efficientnet_lite4,11.149568,1.32913088
mobilenet_v2,1.811712,0.292654656
mobilenetv3_small_w7d20,0.206932,0.022114172
mobilenetv3_small_wd2,0.3961,0.040358548
mobilenetv3_small_w3d4,0.83262,0.085320124
mobilenetv3_small_w1,1.410212,0.135399412
mobilenetv3_small_w5d4,2.184612,0.213127564
mobilenetv3_large_w7d20,0.648864,0.080508568
mobilenetv3_large_wd2,1.261544,0.156385312
mobilenetv3_large_w3d4,2.715944,0.336978344
mobilenetv3_large_w1,4.69184,0.557784464
mobilenetv3_large_w5d4,7.306448,0.877379288
resnet18,11.176512,1.818528768
resnet34,21.284672,3.670725632
resnet50,23.508032,4.109364224
resnet101,42.50016,7.831821312
resnet152,58.143808,11.556686848
resnext50_32x4d,22.979904,4.257232896
resnext101_32x8d,86.742336,16.474386432
wide_resnet50_2,66.83424,11.424774144
wide_resnet101_2,124.837696,22.79345152
shufflenetv2_x0.5,0.143136,0.031766112
shufflenetv2_x1.0,0.77642,0.124402376
shufflenetv2_x1.5,1.75568,0.264846176
shufflenetv2_x2.0,3.342052,0.490549192
vgg11,9.22048,7.492882432
vgg11_bn,9.225984,7.507734528
vgg13,9.404992,11.197075456
vgg13_bn,9.41088,11.221561344
vgg16,14.714688,15.360178176
vgg16_bn,14.723136,15.387273216
vgg19_bn,20.035392,19.552985088
vgg19,20.024384,19.523280896
